Shoulder Flex/Ext (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
Complete;1;983;9.83;157.21;1324;13.24;-46.49;203.69;872;8.72;157.94;1173;11.73;-40.35;198.29;;;;
Complete;2;1717;17.17;155.88;1998;19.98;-48.27;204.15;1571;15.71;159.65;1896;18.96;-41.43;201.07;;;;
Complete;3;2359;23.59;156.43;2655;26.55;-47.15;203.58;2257;22.57;159.33;2535;25.35;-45.87;205.19;;;;
Complete;4;2986;29.86;154.01;3321;33.21;-46.57;200.58;2870;28.7;158.44;3149;31.49;-45.05;203.5;;;;
Complete;5;3637;36.37;154.17;3921;39.21;-40.54;194.71;3484;34.84;160.69;3780;37.8;-45.04;205.73;;;;
Complete;6;4249;42.49;151.27;4554;45.54;-45.66;196.93;4128;41.28;161.7;4398;43.98;-46.9;208.6;;;;
Complete;7;4912;49.12;154.53;5191;51.91;-43.83;198.35;4703;47.03;160.12;4955;49.55;-40.55;200.67;;;;
C7;1;983;9.83;155.59;1324;13.24;-47.01;202.61;872;8.72;155.73;1173;11.73;-39.95;195.68;;;;
C7;2;1717;17.17;154.39;1998;19.98;-48.81;203.2;1575;15.75;157.51;1896;18.96;-41.29;198.8;;;;
C7;3;2360;23.6;154.99;2649;26.49;-48.55;203.55;2257;22.57;157.29;2535;25.35;-45.55;202.84;;;;
C7;4;2986;29.86;152.94;3321;33.21;-47.58;200.52;2871;28.71;157;3149;31.49;-44.53;201.52;;;;
C7;5;3637;36.37;153.27;3921;39.21;-41.32;194.59;3484;34.84;158.53;3783;37.83;-44.25;202.78;;;;
C7;6;4249;42.49;151.09;4554;45.54;-46.21;197.3;4130;41.3;159.33;4400;44;-46.91;206.24;;;;
C7;7;4912;49.12;153.91;5191;51.91;-44.29;198.2;4703;47.03;157.74;4960;49.6;-40.15;197.89;;;;
NOT_C7;1;981;9.81;160.25;1323;13.23;-50.04;210.29;872;8.72;160.41;1176;11.76;-42.46;202.87;;;;
NOT_C7;2;1715;17.15;158.65;1998;19.98;-52.23;210.88;1572;15.72;162.28;1896;18.96;-44.46;206.74;;;;
NOT_C7;3;2331;23.31;158.86;2655;26.55;-51.46;210.31;2251;22.51;161.32;2535;25.35;-47.44;208.76;;;;
NOT_C7;4;2986;29.86;156.1;3321;33.21;-50.64;206.73;2871;28.71;161.03;3147;31.47;-45.75;206.78;;;;
NOT_C7;5;3637;36.37;156.64;3923;39.23;-44.87;201.51;3475;34.75;162.59;3779;37.79;-46.59;209.18;;;;
NOT_C7;6;4246;42.46;154.07;4555;45.55;-50.38;204.44;4129;41.29;163.37;4401;44.01;-47.84;211.21;;;;
NOT_C7;7;4914;49.14;157.61;5191;51.91;-48.35;205.96;4702;47.02;160.45;4959;49.59;-43.34;203.79;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Shoulder Abd/Add (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
Complete;1;1604;16.04;172.67;1938;19.38;-7.57;180.24;1466;14.66;166.57;1749;17.49;3.57;163;;;;
Complete;2;2172;21.72;173.71;2455;24.55;-13.14;186.85;1948;19.48;166.48;2244;22.44;-3.86;170.33;;;;
Complete;3;2653;26.53;172.4;2919;29.19;-12.2;184.6;2448;24.48;167.74;2701;27.01;-5.39;173.13;;;;
Complete;4;3137;31.37;170.69;3407;34.07;-15.06;185.75;2915;29.15;165.84;3192;31.92;-3.72;169.55;;;;
Complete;5;3628;36.28;173.12;3894;38.94;-13.94;187.06;3398;33.98;163.21;3682;36.82;-5.02;168.23;;;;
Complete;6;4105;41.05;171.99;4363;43.63;-11.63;183.62;3885;38.85;164.38;4191;41.91;-1.98;166.36;;;;
C7;1;1608;16.08;177.89;1931;19.31;-7.8;185.68;1466;14.66;170.08;1744;17.44;0.71;169.36;;;;
C7;2;2172;21.72;175.47;2455;24.55;-13.17;188.64;1949;19.49;170.91;2240;22.4;-6.78;177.7;;;;
C7;3;2654;26.54;177.32;2916;29.16;-12.57;189.89;2448;24.48;172.35;2701;27.01;-8.71;181.06;;;;
C7;4;3138;31.38;176.61;3407;34.07;-15.47;192.08;2915;29.15;168.8;3195;31.95;-6.92;175.72;;;;
C7;5;3628;36.28;179.02;3893;38.93;-14.6;193.62;3398;33.98;167.74;3682;36.82;-8.21;175.96;;;;
C7;6;4103;41.03;177.36;4356;43.56;-11.02;188.39;3885;38.85;167.84;4191;41.91;-4.77;172.61;;;;
NOT_C7;1;1604;16.04;172.2;1938;19.38;-8.08;180.27;1468;14.68;169.54;1744;17.44;0.75;168.79;;;;
NOT_C7;2;2172;21.72;171.25;2455;24.55;-13.47;184.72;1948;19.48;168.57;2243;22.43;-8;176.57;;;;
NOT_C7;3;2654;26.54;171.44;2919;29.19;-12.9;184.34;2449;24.49;171.12;2702;27.02;-11.01;182.12;;;;
NOT_C7;4;3135;31.35;169.87;3407;34.07;-16.43;186.3;2914;29.14;169.75;3192;31.92;-9.32;179.07;;;;
NOT_C7;5;3628;36.28;173.01;3893;38.93;-15.23;188.25;3398;33.98;167.89;3682;36.82;-10.9;178.79;;;;
NOT_C7;6;4106;41.06;171.09;4363;43.63;-11.41;182.5;3885;38.85;167.01;4177;41.77;-7.27;174.28;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Shoulder Int/Ext Rot (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
Complete;1;1761;17.61;74.94;1914;19.14;-12.07;87.01;1293;12.93;87.18;1480;14.8;4.28;82.91;;;;
Complete;2;2115;21.15;76.71;2285;22.85;-6.6;83.31;1675;16.75;91.17;1901;19.01;3.73;87.44;;;;
Complete;3;2488;24.88;80.37;2642;26.42;-5.48;85.86;2067;20.67;96.22;2251;22.51;1.35;94.87;;;;
Complete;4;2836;28.36;80.3;2993;29.93;-5.19;85.49;2408;24.08;95.79;2610;26.1;6.71;89.08;;;;
Complete;5;3190;31.9;81.8;3320;33.2;-0.9;82.7;2760;27.6;89.26;2946;29.46;5.03;84.23;;;;
Complete;6;3560;35.6;75.89;3733;37.33;-6.06;81.95;3087;30.87;90.76;3266;32.66;4.51;86.24;;;;
C7;1;1762;17.62;77.14;1901;19.01;-6.45;83.59;1293;12.93;87.57;1508;15.08;8.24;79.33;;;;
C7;2;2115;21.15;79.79;2258;22.58;-3.22;83.01;1675;16.75;91.71;1901;19.01;7.11;84.6;;;;
C7;3;2488;24.88;83.06;2643;26.43;-0.29;83.35;2066;20.66;95;2242;22.42;3.79;91.21;;;;
C7;4;2836;28.36;81.95;2989;29.89;-3.3;85.24;2408;24.08;95.81;2563;25.63;11.43;84.39;;;;
C7;5;3190;31.9;83.15;3387;33.87;0.69;82.45;2775;27.75;90.7;2946;29.46;9.52;81.19;;;;
C7;6;3560;35.6;75.14;3722;37.22;-3.95;79.09;3088;30.88;91.81;3266;32.66;7.76;84.05;;;;
NOT_C7;1;1763;17.63;69.12;1893;18.93;-19.25;88.37;1280;12.8;91.82;1462;14.62;6.11;85.71;;;;
NOT_C7;2;2115;21.15;70.74;2258;22.58;-14.9;85.64;1681;16.81;97.67;1901;19.01;6.31;91.36;;;;
