Movement,Model,Anatomic_Distances,Rep,Left_Peak_frame,Left_Peak_time_s,Left_Peak_deg,Left_Valley_frame,Left_Valley_time_s,Left_Valley_deg,Left_ROM_deg,Right_Peak_frame,Right_Peak_time_s,Right_Peak_deg,Right_Valley_frame,Right_Valley_time_s,Right_Valley_deg,Right_ROM_deg
Shoulder Flex/Ext,Complete,IJ_C7,1,983,9.83,157.21,1324,13.24,-46.49,203.69,872.0,8.72,157.94,1173.0,11.73,-40.35,198.29
Shoulder Flex/Ext,Complete,IJ_C7,2,1717,17.17,155.88,1998,19.98,-48.27,204.15,1571.0,15.71,159.65,1896.0,18.96,-41.43,201.07
Shoulder Flex/Ext,Complete,IJ_C7,3,2359,23.59,156.43,2655,26.55,-47.15,203.58,2257.0,22.57,159.33,2535.0,25.35,-45.87,205.19
Shoulder Flex/Ext,Complete,IJ_C7,4,2986,29.86,154.01,3321,33.21,-46.57,200.58,2870.0,28.7,158.44,3149.0,31.49,-45.05,203.5
Shoulder Flex/Ext,Complete,IJ_C7,5,3637,36.37,154.17,3921,39.21,-40.54,194.71,3484.0,34.84,160.69,3780.0,37.8,-45.04,205.73
Shoulder Flex/Ext,Complete,IJ_C7,6,4249,42.49,151.27,4554,45.54,-45.66,196.93,4128.0,41.28,161.7,4398.0,43.98,-46.9,208.6
Shoulder Flex/Ext,Complete,IJ_C7,7,4912,49.12,154.53,5191,51.91,-43.83,198.35,4703.0,47.03,160.12,4955.0,49.55,-40.55,200.67
Shoulder Flex/Ext,Complete,PX_C7,1,983,9.83,157.21,1324,13.24,-46.49,203.69,872.0,8.72,157.94,1173.0,11.73,-40.35,198.29
Shoulder Flex/Ext,Complete,PX_C7,2,1717,17.17,155.88,1998,19.98,-48.27,204.15,1571.0,15.71,159.65,1896.0,18.96,-41.43,201.07
Shoulder Flex/Ext,Complete,PX_C7,3,2359,23.59,156.43,2655,26.55,-47.15,203.58,2257.0,22.57,159.33,2535.0,25.35,-45.87,205.19
Shoulder Flex/Ext,Complete,PX_C7,4,2986,29.86,154.01,3321,33.21,-46.57,200.58,2870.0,28.7,158.44,3149.0,31.49,-45.05,203.5
Shoulder Flex/Ext,Complete,PX_C7,5,3637,36.37,154.17,3921,39.21,-40.54,194.71,3484.0,34.84,160.69,3780.0,37.8,-45.04,205.73
Shoulder Flex/Ext,Complete,PX_C7,6,4249,42.49,151.27,4554,45.54,-45.66,196.93,4128.0,41.28,161.7,4398.0,43.98,-46.9,208.6
Shoulder Flex/Ext,Complete,PX_C7,7,4912,49.12,154.53,5191,51.91,-43.83,198.35,4703.0,47.03,160.12,4955.0,49.55,-40.55,200.67
Shoulder Flex/Ext,Complete,IJ_PX_C7,1,983,9.83,157.21,1324,13.24,-46.49,203.69,872.0,8.72,157.94,1173.0,11.73,-40.35,198.29
Shoulder Flex/Ext,Complete,IJ_PX_C7,2,1717,17.17,155.88,1998,19.98,-48.27,204.15,1571.0,15.71,159.65,1896.0,18.96,-41.43,201.07
Shoulder Flex/Ext,Complete,IJ_PX_C7,3,2359,23.59,156.43,2655,26.55,-47.15,203.58,2257.0,22.57,159.33,2535.0,25.35,-45.87,205.19
Shoulder Flex/Ext,Complete,IJ_PX_C7,4,2986,29.86,154.01,3321,33.21,-46.57,200.58,2870.0,28.7,158.44,3149.0,31.49,-45.05,203.5
Shoulder Flex/Ext,Complete,IJ_PX_C7,5,3637,36.37,154.17,3921,39.21,-40.54,194.71,3484.0,34.84,160.69,3780.0,37.8,-45.04,205.73
